,contacts,energy,residues
0,-0.0,31772.0,0.47
1,-0.0,32448.0,0.48
2,-0.0,33124.0,0.49
3,-0.0,32448.0,0.48
4,-0.0,31772.0,0.47
5,-0.0,31096.0,0.46
6,-0.0,31772.0,0.47
7,-0.0,31096.0,0.46
8,-0.0,30420.0,0.45
9,-0.0,31096.0,0.46
10,-0.0,30420.0,0.45
11,-0.0,29744.0,0.44
12,-0.0,30420.0,0.45
13,-0.0,31096.0,0.46
14,-0.0,30420.0,0.45
15,-0.0,29744.0,0.44
16,-0.0,29068.0,0.43
17,-0.0,28392.0,0.42
18,-0.0,27716.0,0.41
19,-0.0,27040.0,0.4
20,-0.0,26364.0,0.39
21,-0.0,25688.0,0.38
22,-0.0,25012.0,0.37
23,-0.0,25688.0,0.38
24,-0.0,26364.0,0.39
25,-0.0,27040.0,0.4
26,-0.0,27716.0,0.41
27,-0.0,27040.0,0.4
28,-0.0,26364.0,0.39
29,-0.0,25688.0,0.38
30,-0.0,25012.0,0.37
31,-0.0,25688.0,0.38
32,-0.0,25012.0,0.37
33,-0.0,24336.0,0.36
34,-0.0,23660.0,0.35
35,-0.0,24336.0,0.36
36,-0.0,23660.0,0.35
37,-0.0,24336.0,0.36
38,-0.0,23660.0,0.35
39,-0.0,22984.0,0.34
40,-0.0,22308.0,0.33
41,-0.0,22984.0,0.34
42,-0.0,22308.0,0.33
43,-0.0,21632.0,0.32
44,-0.0,20956.0,0.31
45,-0.0,20280.0,0.3
46,-0.0,19604.0,0.29
47,-0.0,18928.0,0.28
48,-0.0,19604.0,0.29
49,-0.0,20280.0,0.3
50,-0.0,20956.0,0.31
51,-0.0,20280.0,0.3
52,-0.0,19604.0,0.29
53,-0.0,20280.0,0.3
54,-0.0,19604.0,0.29
55,-0.0,18928.0,0.28
56,-0.0,18252.0,0.27
57,-0.0,17576.0,0.26
58,-0.0,16900.0,0.25
59,-0.0,17576.0,0.26
60,-0.0,16900.0,0.25
61,-0.0,16224.0,0.24
62,-0.0,15548.0,0.23
63,-0.0,14872.0,0.22
64,-0.0,15548.0,0.23
65,-0.0,14872.0,0.22
66,-0.0,14196.0,0.21
67,-0.0,14872.0,0.22
68,-0.0,14196.0,0.21
69,-0.0,14872.0,0.22
70,-0.0,14196.0,0.21
71,-0.0,13520.0,0.2
72,-0.0,14196.0,0.21
73,-0.0,13520.0,0.2
74,-0.0,14196.0,0.21
75,-0.0,14872.0,0.22
76,-0.0,14196.0,0.21
77,-0.0,13520.0,0.2
78,-0.0,14196.0,0.21
79,-0.0,14872.0,0.22
80,-0.0,14196.0,0.21
81,-0.0,13520.0,0.2
82,-0.0,12844.0,0.19
83,-0.0,12168.0,0.18
84,-0.0,11492.0,0.17
85,-0.0,12168.0,0.18
86,-0.0,12844.0,0.19
87,-0.0,13520.0,0.2
88,-0.0,12844.0,0.19
89,-0.0,13520.0,0.2
90,-0.0,12844.0,0.19
91,-0.0,13520.0,0.2
92,-0.0,14196.0,0.21
93,-0.0,13520.0,0.2
94,-0.0,12844.0,0.19
95,-0.0,12168.0,0.18
96,-0.0,12844.0,0.19
97,-0.0,13520.0,0.2
98,-0.0,14196.0,0.21
99,-0.0,13520.0,0.2
100,-0.0,14196.0,0.21
101,-0.0,13520.0,0.2
102,-0.0,14196.0,0.21
103,-0.0,14872.0,0.22
104,-0.0,15548.0,0.23
105,-0.0,16224.0,0.24
106,-0.0,15548.0,0.23
107,-0.0,14872.0,0.22
108,-0.0,15548.0,0.23
109,-0.0,14872.0,0.22
110,-0.0,14196.0,0.21
111,-0.0,13520.0,0.2
112,-0.0,12844.0,0.19
113,-0.0,12168.0,0.18
114,-0.0,12844.0,0.19
115,-0.0,12168.0,0.18
116,-0.0,12844.0,0.19
117,-0.0,13520.0,0.2
