,contacts,energy,residues
0,-0.0,45500.0,0.5
1,-0.0,46410.0,0.51
2,-0.0,45500.0,0.5
3,-0.0,44590.0,0.49
4,-0.0,43680.0,0.48
5,-0.0,42770.0,0.47
6,-0.0,41860.0,0.46
7,-0.0,40950.0,0.45
8,-0.0,40040.0,0.44
9,-0.0,40950.0,0.45
10,-0.0,41860.0,0.46
11,-0.0,40950.0,0.45
12,-0.0,40040.0,0.44
13,-0.0,39130.0,0.43
14,-0.0,40040.0,0.44
15,-0.0,39130.0,0.43
16,0.010752688172,38390.0,0.44
17,0.010752688172,39300.0,0.45
18,0.010752688172,40210.0,0.46
19,0.010752688172,39300.0,0.45
20,0.010752688172,38390.0,0.44
21,0.010752688172,37480.0,0.43
22,0.010752688172,36570.0,0.42
23,0.010752688172,35660.0,0.41
24,-0.0,36400.0,0.4
25,-0.0,37310.0,0.41
26,-0.0,38220.0,0.42
27,-0.0,37310.0,0.41
28,-0.0,36400.0,0.4
29,-0.0,37310.0,0.41
30,-0.0,36400.0,0.4
31,-0.0,35490.0,0.39
32,-0.0,34580.0,0.38
33,-0.0,35490.0,0.39
34,-0.0,36400.0,0.4
35,-0.0,35490.0,0.39
36,-0.0,34580.0,0.38
37,-0.0,33670.0,0.37
38,-0.0,32760.0,0.36
39,-0.0,31850.0,0.35
40,-0.0,30940.0,0.34
41,-0.0,30030.0,0.33
42,-0.0,30940.0,0.34
43,-0.0,30030.0,0.33
44,-0.0,29120.0,0.32
45,-0.0,30030.0,0.33
46,-0.0,29120.0,0.32
47,-0.0,28210.0,0.31
48,-0.0,27300.0,0.3
49,-0.0,28210.0,0.31
50,-0.0,29120.0,0.32
51,-0.0,30030.0,0.33
52,-0.0,30940.0,0.34
53,-0.0,30030.0,0.33
54,-0.0,29120.0,0.32
55,-0.0,28210.0,0.31
56,-0.0,29120.0,0.32
57,-0.0,30030.0,0.33
58,-0.0,29120.0,0.32
59,-0.0,30030.0,0.33
60,-0.0,29120.0,0.32
61,-0.0,30030.0,0.33
62,-0.0,30940.0,0.34
63,-0.0,30030.0,0.33
64,-0.0,29120.0,0.32
65,-0.0,28210.0,0.31
66,-0.0,29120.0,0.32
67,-0.0,30030.0,0.33
68,-0.0,30940.0,0.34
69,-0.0,30030.0,0.33
70,-0.0,30940.0,0.34
71,-0.0,30030.0,0.33
72,-0.0,30940.0,0.34
73,-0.0,30030.0,0.33
74,-0.0,29120.0,0.32
75,-0.0,28210.0,0.31
76,-0.0,27300.0,0.3
77,-0.0,28210.0,0.31
78,-0.0,27300.0,0.3
79,-0.0,28210.0,0.31
80,-0.0,29120.0,0.32
81,-0.0,30030.0,0.33
82,-0.0,29120.0,0.32
83,-0.0,28210.0,0.31
84,-0.0,29120.0,0.32
85,-0.0,30030.0,0.33
86,-0.0,30940.0,0.34
87,-0.0,31850.0,0.35
88,-0.0,30940.0,0.34
89,-0.0,30030.0,0.33
90,-0.0,29120.0,0.32
91,-0.0,28210.0,0.31
92,-0.0,27300.0,0.3
93,-0.0,26390.0,0.29
94,-0.0,27300.0,0.3
95,-0.0,26390.0,0.29
96,-0.0,25480.0,0.28
97,-0.0,24570.0,0.27
98,-0.0,25480.0,0.28
99,-0.0,26390.0,0.29
100,-0.0,25480.0,0.28
101,-0.0,24570.0,0.27
102,-0.0,25480.0,0.28
103,-0.0,24570.0,0.27
104,-0.0,23660.0,0.26
105,-0.0,24570.0,0.27
106,-0.0,25480.0,0.28
107,-0.0,26390.0,0.29
108,-0.0,25480.0,0.28
109,-0.0,26390.0,0.29
110,-0.0,27300.0,0.3
111,-0.0,26390.0,0.29
112,-0.0,25480.0,0.28
113,-0.0,26390.0,0.29
114,-0.0,25480.0,0.28
115,-0.0,24570.0,0.27
116,-0.0,23660.0,0.26
117,-0.0,22750.0,0.25
118,-0.0,21840.0,0.24
119,-0.0,20930.0,0.23
120,-0.0,20020.0,0.22
121,-0.0,20930.0,0.23
122,-0.0,20020.0,0.22
123,-0.0,19110.0,0.21
124,-0.0,18200.0,0.2
125,-0.0,17290.0,0.19
126,-0.0,18200.0,0.2
127,-0.0,17290.0,0.19
128,-0.0,18200.0,0.2
129,-0.0,19110.0,0.21
130,-0.0,18200.0,0.2
131,-0.0,19110.0,0.21
132,-0.0,20020.0,0.22
133,-0.0,20930.0,0.23
134,-0.0,21840.0,0.24
135,-0.0,22750.0,0.25
136,-0.0,23660.0,0.26
137,-0.0,22750.0,0.25
138,-0.0,21840.0,0.24
139,-0.0,20930.0,0.23
140,-0.0,20020.0,0.22
141,-0.0,19110.0,0.21
142,-0.0,20020.0,0.22
143,-0.0,19110.0,0.21
144,-0.0,18200.0,0.2
145,-0.0,17290.0,0.19
146,-0.0,18200.0,0.2
147,-0.0,17290.0,0.19
148,-0.0,16380.0,0.18
149,-0.0,17290.0,0.19
150,-0.0,16380.0,0.18
151,-0.0,17290.0,0.19
152,-0.0,18200.0,0.2
153,-0.0,19110.0,0.21
154,-0.0,20020.0,0.22
155,-0.0,20930.0,0.23
156,-0.0,21840.0,0.24
157,-0.0,22750.0,0.25
158,-0.0,23660.0,0.26
159,-0.0,22750.0,0.25
160,-0.0,21840.0,0.24
161,-0.0,20930.0,0.23
162,-0.0,21840.0,0.24
163,-0.0,20930.0,0.23
164,-0.0,21840.0,0.24
165,-0.0,22750.0,0.25
166,-0.0,23660.0,0.26
167,-0.0,22750.0,0.25
168,-0.0,23660.0,0.26
169,-0.0,22750.0,0.25
170,-0.0,21840.0,0.24
171,-0.0,22750.0,0.25
172,-0.0,21840.0,0.24
173,-0.0,20930.0,0.23
174,-0.0,20020.0,0.22
175,-0.0,19110.0,0.21
176,-0.0,18200.0,0.2
177,-0.0,19110.0,0.21
178,-0.0,18200.0,0.2
179,-0.0,19110.0,0.21
180,-0.0,18200.0,0.2
181,-0.0,17290.0,0.19
182,-0.0,18200.0,0.2
183,-0.0,17290.0,0.19
184,-0.0,16380.0,0.18
185,-0.0,15470.0,0.17
186,-0.0,16380.0,0.18
187,-0.0,17290.0,0.19
188,-0.0,16380.0,0.18
189,-0.0,15470.0,0.17
190,-0.0,16380.0,0.18
191,-0.0,15470.0,0.17
