,contacts,energy,residues
0,-0.0,33124.0,0.49
1,-0.0,32448.0,0.48
2,-0.0,33124.0,0.49
3,-0.0,33800.0,0.5
4,-0.0,33124.0,0.49
5,-0.0,32448.0,0.48
6,-0.0,31772.0,0.47
7,-0.0,31096.0,0.46
8,-0.0,30420.0,0.45
9,-0.0,31096.0,0.46
10,-0.0,30420.0,0.45
11,-0.0,29744.0,0.44
12,-0.0,29068.0,0.43
13,-0.0,28392.0,0.42
14,-0.0,27716.0,0.41
15,-0.0,27040.0,0.4
16,-0.0,26364.0,0.39
17,-0.0,27040.0,0.4
18,-0.0,26364.0,0.39
19,-0.0,25688.0,0.38
20,-0.0,26364.0,0.39
21,-0.0,25688.0,0.38
22,-0.0,26364.0,0.39
23,-0.0,25688.0,0.38
24,-0.0,25012.0,0.37
25,-0.0,24336.0,0.36
26,-0.0,23660.0,0.35
27,-0.0,22984.0,0.34
28,-0.0,22308.0,0.33
29,-0.0,21632.0,0.32
30,-0.0,20956.0,0.31
31,-0.0,21632.0,0.32
32,-0.0,20956.0,0.31
33,-0.0,21632.0,0.32
34,-0.0,22308.0,0.33
35,-0.0,22984.0,0.34
36,-0.0,23660.0,0.35
37,-0.0,22984.0,0.34
38,-0.0,22308.0,0.33
39,-0.0,21632.0,0.32
40,-0.0,20956.0,0.31
41,-0.0,20280.0,0.3
42,-0.0,19604.0,0.29
43,-0.0,18928.0,0.28
44,-0.0,18252.0,0.27
45,-0.0,18928.0,0.28
46,-0.0,18252.0,0.27
47,-0.0,17576.0,0.26
48,-0.0,18252.0,0.27
49,-0.0,18928.0,0.28
50,-0.0,18252.0,0.27
51,-0.0,18928.0,0.28
52,-0.0,19604.0,0.29
53,-0.0,18928.0,0.28
54,-0.0,19604.0,0.29
55,-0.0,18928.0,0.28
56,-0.0,18252.0,0.27
57,-0.0,17576.0,0.26
58,-0.0,16900.0,0.25
59,-0.0,17576.0,0.26
60,-0.0,16900.0,0.25
61,-0.0,17576.0,0.26
62,-0.0,16900.0,0.25
63,-0.0,17576.0,0.26
64,-0.0,16900.0,0.25
65,-0.0,17576.0,0.26
66,-0.0,18252.0,0.27
67,-0.0,17576.0,0.26
68,-0.0,16900.0,0.25
69,-0.0,16224.0,0.24
70,-0.0,15548.0,0.23
71,-0.0,14872.0,0.22
72,-0.0,14196.0,0.21
73,-0.0,13520.0,0.2
74,-0.0,14196.0,0.21
75,-0.0,14872.0,0.22
76,-0.0,14196.0,0.21
77,-0.0,13520.0,0.2
78,-0.0,14196.0,0.21
79,-0.0,14872.0,0.22
80,-0.0,15548.0,0.23
81,-0.0,14872.0,0.22
82,-0.0,14196.0,0.21
83,-0.0,14872.0,0.22
84,-0.0,14196.0,0.21
85,-0.0,14872.0,0.22
86,-0.0,15548.0,0.23
87,-0.0,14872.0,0.22
88,-0.0,15548.0,0.23
89,-0.0,16224.0,0.24
90,-0.0,16900.0,0.25
91,-0.0,16224.0,0.24
92,-0.0,15548.0,0.23
93,-0.0,16224.0,0.24
94,-0.0,16900.0,0.25
95,-0.0,16224.0,0.24
