,contacts,energy,residues
0,-0.0,25116.0,0.42
1,-0.0,24518.0,0.41
2,-0.0,23920.0,0.4
3,-0.0,24518.0,0.41
4,-0.0,23920.0,0.4
5,-0.0,23322.0,0.39
6,-0.0,22724.0,0.38
7,-0.0,22126.0,0.37
8,-0.0,21528.0,0.36
9,-0.0,20930.0,0.35
10,-0.0,20332.0,0.34
11,-0.0,19734.0,0.33
12,-0.0,19136.0,0.32
13,-0.0,18538.0,0.31
14,-0.0,17940.0,0.3
15,-0.0,18538.0,0.31
16,-0.0,17940.0,0.3
17,-0.0,17342.0,0.29
18,-0.0,16744.0,0.28
19,-0.0,17342.0,0.29
20,-0.0,17940.0,0.3
21,-0.0,17342.0,0.29
22,-0.0,17940.0,0.3
23,-0.0,18538.0,0.31
24,-0.0,17940.0,0.3
25,-0.0,17342.0,0.29
26,-0.0,16744.0,0.28
27,-0.0,16146.0,0.27
28,-0.0,15548.0,0.26
29,-0.0,16146.0,0.27
30,-0.0,16744.0,0.28
31,-0.0,17342.0,0.29
32,-0.0,17940.0,0.3
33,-0.0,18538.0,0.31
34,-0.0,19136.0,0.32
35,-0.0,18538.0,0.31
36,-0.0,19136.0,0.32
37,-0.0,19734.0,0.33
38,-0.0,19136.0,0.32
39,-0.0,18538.0,0.31
40,-0.0,17940.0,0.3
41,-0.0,18538.0,0.31
42,-0.0,17940.0,0.3
43,-0.0,18538.0,0.31
44,-0.0,17940.0,0.3
45,-0.0,17342.0,0.29
46,-0.0,16744.0,0.28
47,-0.0,17342.0,0.29
48,-0.0,16744.0,0.28
49,-0.0,16146.0,0.27
50,-0.0,16744.0,0.28
51,-0.0,16146.0,0.27
52,-0.0,15548.0,0.26
53,-0.0,16146.0,0.27
54,-0.0,15548.0,0.26
55,-0.0,16146.0,0.27
56,-0.0,15548.0,0.26
57,-0.0,16146.0,0.27
58,-0.0,15548.0,0.26
59,-0.0,14950.0,0.25
60,-0.0,14352.0,0.24
61,-0.0,14950.0,0.25
62,-0.0,15548.0,0.26
63,-0.0,14950.0,0.25
64,-0.0,15548.0,0.26
65,-0.0,14950.0,0.25
66,-0.0,15548.0,0.26
67,-0.0,16146.0,0.27
68,-0.0,16744.0,0.28
69,-0.0,17342.0,0.29
70,-0.0,16744.0,0.28
71,-0.0,16146.0,0.27
72,-0.0,16744.0,0.28
73,-0.0,17342.0,0.29
74,-0.0,16744.0,0.28
75,-0.0,17342.0,0.29
76,-0.0,16744.0,0.28
77,-0.0,16146.0,0.27
78,-0.0,15548.0,0.26
79,-0.0,16146.0,0.27
80,-0.0,16744.0,0.28
81,-0.0,16146.0,0.27
82,-0.0,16744.0,0.28
83,-0.0,16146.0,0.27
84,-0.0,16744.0,0.28
85,-0.0,16146.0,0.27
86,-0.0,16744.0,0.28
87,-0.0,16146.0,0.27
88,-0.0,15548.0,0.26
89,-0.0,14950.0,0.25
90,-0.0,14352.0,0.24
91,-0.0,13754.0,0.23
92,-0.0,14352.0,0.24
93,-0.0,14950.0,0.25
94,-0.0,14352.0,0.24
95,-0.0,13754.0,0.23
96,-0.0,13156.0,0.22
97,-0.0,13754.0,0.23
98,-0.0,13156.0,0.22
