,contacts,energy,residues
0,-0.0,50388.0,0.51
1,-0.0,49400.0,0.5
2,-0.0,48412.0,0.49
3,-0.0,47424.0,0.48
4,-0.0,46436.0,0.47
5,-0.0,45448.0,0.46
6,-0.0,44460.0,0.45
7,-0.0,43472.0,0.44
8,-0.0,44460.0,0.45
9,-0.0,43472.0,0.44
10,-0.0,42484.0,0.43
11,-0.0,41496.0,0.42
12,-0.0,40508.0,0.41
13,-0.0,39520.0,0.4
14,-0.0,38532.0,0.39
15,-0.0,37544.0,0.38
16,-0.0,36556.0,0.37
17,-0.0,37544.0,0.38
18,-0.0,36556.0,0.37
19,-0.0,35568.0,0.36
20,-0.0,34580.0,0.35
21,-0.0,33592.0,0.34
22,-0.0,32604.0,0.33
23,-0.0,33592.0,0.34
24,-0.0,34580.0,0.35
25,-0.0,35568.0,0.36
26,-0.0,36556.0,0.37
27,-0.0,35568.0,0.36
28,-0.0,36556.0,0.37
29,-0.0,35568.0,0.36
30,-0.0,34580.0,0.35
31,-0.0,33592.0,0.34
32,-0.0,32604.0,0.33
33,-0.0,31616.0,0.32
34,-0.0,32604.0,0.33
35,-0.0,31616.0,0.32
36,-0.0,30628.0,0.31
37,-0.0,31616.0,0.32
38,-0.0,30628.0,0.31
39,-0.0,29640.0,0.3
40,-0.0,28652.0,0.29
41,-0.0,27664.0,0.28
42,-0.0,26676.0,0.27
43,-0.0,25688.0,0.26
44,-0.0,24700.0,0.25
45,-0.0,23712.0,0.24
46,-0.0,22724.0,0.23
47,-0.0,21736.0,0.22
48,-0.0,22724.0,0.23
49,-0.0,21736.0,0.22
50,-0.0,22724.0,0.23
51,-0.0,23712.0,0.24
52,-0.0,22724.0,0.23
53,-0.0,21736.0,0.22
54,-0.0,20748.0,0.21
55,-0.0,19760.0,0.2
56,-0.0,18772.0,0.19
57,-0.0,19760.0,0.2
58,-0.0,20748.0,0.21
59,-0.0,21736.0,0.22
60,-0.0,20748.0,0.21
61,-0.0,21736.0,0.22
62,-0.0,22724.0,0.23
63,-0.0,21736.0,0.22
64,-0.0,20748.0,0.21
65,-0.0,19760.0,0.2
66,-0.0,20748.0,0.21
67,-0.0,21736.0,0.22
68,-0.0,20748.0,0.21
69,-0.0,19760.0,0.2
70,-0.0,18772.0,0.19
71,-0.0,17784.0,0.18
72,-0.0,16796.0,0.17
73,-0.0,17784.0,0.18
74,-0.0,16796.0,0.17
75,-0.0,15808.0,0.16
76,-0.0,16796.0,0.17
77,-0.0,15808.0,0.16
78,-0.0,14820.0,0.15
79,-0.0,15808.0,0.16
80,-0.0,14820.0,0.15
81,-0.0,15808.0,0.16
82,-0.0,16796.0,0.17
83,-0.0,17784.0,0.18
84,-0.0,18772.0,0.19
85,-0.0,17784.0,0.18
86,-0.0,16796.0,0.17
87,-0.0,17784.0,0.18
88,-0.0,18772.0,0.19
89,-0.0,17784.0,0.18
90,-0.0,18772.0,0.19
91,-0.0,19760.0,0.2
92,-0.0,20748.0,0.21
93,-0.0,19760.0,0.2
94,-0.0,18772.0,0.19
95,-0.0,17784.0,0.18
96,-0.0,16796.0,0.17
97,-0.0,17784.0,0.18
98,-0.0,18772.0,0.19
99,-0.0,17784.0,0.18
100,-0.0,18772.0,0.19
101,-0.0,19760.0,0.2
102,-0.0,20748.0,0.21
103,-0.0,19760.0,0.2
104,-0.0,20748.0,0.21
105,-0.0,21736.0,0.22
106,-0.0,22724.0,0.23
107,-0.0,21736.0,0.22
108,-0.0,20748.0,0.21
109,-0.0,19760.0,0.2
110,-0.0,18772.0,0.19
111,-0.0,19760.0,0.2
112,-0.0,20748.0,0.21
113,-0.0,19760.0,0.2
114,-0.0,18772.0,0.19
115,-0.0,19760.0,0.2
116,-0.0,18772.0,0.19
117,-0.0,17784.0,0.18
118,-0.0,16796.0,0.17
119,-0.0,17784.0,0.18
120,-0.0,18772.0,0.19
121,-0.0,17784.0,0.18
122,-0.0,18772.0,0.19
123,-0.0,19760.0,0.2
124,-0.0,20748.0,0.21
125,-0.0,19760.0,0.2
126,-0.0,18772.0,0.19
127,-0.0,17784.0,0.18
128,-0.0,18772.0,0.19
129,-0.0,19760.0,0.2
130,-0.0,18772.0,0.19
131,-0.0,17784.0,0.18
132,-0.0,18772.0,0.19
133,-0.0,19760.0,0.2
134,-0.0,20748.0,0.21
135,-0.0,21736.0,0.22
136,-0.0,22724.0,0.23
137,-0.0,21736.0,0.22
138,-0.0,20748.0,0.21
139,-0.0,19760.0,0.2
140,-0.0,20748.0,0.21
141,-0.0,21736.0,0.22
142,-0.0,20748.0,0.21
143,-0.0,19760.0,0.2
144,-0.0,20748.0,0.21
145,-0.0,21736.0,0.22
146,-0.0,20748.0,0.21
147,-0.0,21736.0,0.22
148,-0.0,20748.0,0.21
149,-0.0,21736.0,0.22
150,-0.0,20748.0,0.21
151,-0.0,19760.0,0.2
152,-0.0,20748.0,0.21
153,-0.0,21736.0,0.22
154,-0.0,20748.0,0.21
155,-0.0,21736.0,0.22
156,-0.0,20748.0,0.21
157,-0.0,21736.0,0.22
158,-0.0,20748.0,0.21
159,-0.0,21736.0,0.22
160,-0.0,20748.0,0.21
161,-0.0,19760.0,0.2
162,-0.0,18772.0,0.19
163,-0.0,19760.0,0.2
164,-0.0,18772.0,0.19
165,-0.0,19760.0,0.2
166,-0.0,20748.0,0.21
167,-0.0,19760.0,0.2
168,-0.0,20748.0,0.21
169,-0.0,21736.0,0.22
170,-0.0,22724.0,0.23
171,-0.0,23712.0,0.24
172,-0.0,22724.0,0.23
173,-0.0,21736.0,0.22
174,-0.0,20748.0,0.21
175,-0.0,19760.0,0.2
176,-0.0,20748.0,0.21
177,-0.0,19760.0,0.2
178,-0.0,20748.0,0.21
179,-0.0,21736.0,0.22
180,-0.0,22724.0,0.23
181,-0.0,21736.0,0.22
182,-0.0,20748.0,0.21
183,-0.0,19760.0,0.2
184,-0.0,18772.0,0.19
185,-0.0,19760.0,0.2
186,-0.0,20748.0,0.21
187,-0.0,19760.0,0.2
188,-0.0,20748.0,0.21
189,-0.0,21736.0,0.22
190,-0.0,20748.0,0.21
191,-0.0,21736.0,0.22
192,-0.0,22724.0,0.23
193,-0.0,23712.0,0.24
194,-0.0,24700.0,0.25
195,-0.0,23712.0,0.24
196,-0.0,24700.0,0.25
197,-0.0,23712.0,0.24
198,-0.0,24700.0,0.25
199,-0.0,25688.0,0.26
200,-0.0,24700.0,0.25
201,-0.0,23712.0,0.24
202,-0.0,22724.0,0.23
203,-0.0,23712.0,0.24
204,-0.0,24700.0,0.25
205,-0.0,25688.0,0.26
206,-0.0,24700.0,0.25
207,-0.0,25688.0,0.26
208,-0.0,24700.0,0.25
209,-0.0,23712.0,0.24
210,-0.0,22724.0,0.23
211,-0.0,23712.0,0.24
212,-0.0,24700.0,0.25
213,-0.0,23712.0,0.24
214,-0.0,24700.0,0.25
215,-0.0,23712.0,0.24
216,-0.0,22724.0,0.23
217,-0.0,23712.0,0.24
218,-0.0,24700.0,0.25
219,-0.0,25688.0,0.26
220,-0.0,24700.0,0.25
221,-0.0,23712.0,0.24
222,-0.0,22724.0,0.23
223,-0.0,23712.0,0.24
224,-0.0,22724.0,0.23
225,-0.0,23712.0,0.24
226,-0.0,24700.0,0.25
227,-0.0,25688.0,0.26
228,-0.0,24700.0,0.25
229,-0.0,25688.0,0.26
230,-0.0,24700.0,0.25
231,-0.0,25688.0,0.26
232,-0.0,26676.0,0.27
233,-0.0,25688.0,0.26
234,-0.0,26676.0,0.27
235,-0.0,25688.0,0.26
236,-0.0,24700.0,0.25
237,-0.0,23712.0,0.24
238,-0.0,22724.0,0.23
239,-0.0,21736.0,0.22
240,-0.0,22724.0,0.23
241,-0.0,21736.0,0.22
242,-0.0,20748.0,0.21
243,-0.0,21736.0,0.22
244,-0.0,22724.0,0.23
245,-0.0,21736.0,0.22
246,-0.0,20748.0,0.21
247,-0.0,21736.0,0.22
248,-0.0,20748.0,0.21
249,-0.0,19760.0,0.2
250,-0.0,18772.0,0.19
251,-0.0,17784.0,0.18
252,-0.0,18772.0,0.19
253,-0.0,17784.0,0.18
254,-0.0,18772.0,0.19
255,-0.0,19760.0,0.2
256,-0.0,18772.0,0.19
257,-0.0,19760.0,0.2
258,-0.0,18772.0,0.19
259,-0.0,19760.0,0.2
260,-0.0,20748.0,0.21
261,-0.0,19760.0,0.2
262,-0.0,20748.0,0.21
263,-0.0,19760.0,0.2
264,-0.0,20748.0,0.21
265,-0.0,21736.0,0.22
266,-0.0,20748.0,0.21
267,-0.0,21736.0,0.22
268,-0.0,20748.0,0.21
269,-0.0,21736.0,0.22
270,-0.0,20748.0,0.21
271,-0.0,21736.0,0.22
272,-0.0,20748.0,0.21
273,-0.0,19760.0,0.2
274,-0.0,20748.0,0.21
275,-0.0,21736.0,0.22
276,-0.0,22724.0,0.23
277,-0.0,23712.0,0.24
278,-0.0,22724.0,0.23
279,-0.0,23712.0,0.24
280,-0.0,24700.0,0.25
281,-0.0,23712.0,0.24
282,-0.0,24700.0,0.25
283,-0.0,23712.0,0.24
284,-0.0,24700.0,0.25
285,-0.0,23712.0,0.24
286,-0.0,24700.0,0.25
287,-0.0,25688.0,0.26
288,-0.0,24700.0,0.25
289,-0.0,23712.0,0.24
290,-0.0,24700.0,0.25
291,-0.0,23712.0,0.24
