,contacts,energy,residues
0,-0.0,40755.0,0.55
1,-0.0,41496.0,0.56
2,-0.0,40755.0,0.55
3,-0.0,40014.0,0.54
4,-0.0,39273.0,0.53
5,-0.0,38532.0,0.52
6,-0.0,37791.0,0.51
7,-0.0,37050.0,0.5
8,-0.0,36309.0,0.49
9,-0.0,35568.0,0.48
10,-0.0,34827.0,0.47
11,-0.0,34086.0,0.46
12,-0.0,33345.0,0.45
13,-0.0,34086.0,0.46
14,-0.0,33345.0,0.45
15,-0.0,32604.0,0.44
16,-0.0,31863.0,0.43
17,-0.0,31122.0,0.42
18,-0.0,30381.0,0.41
19,-0.0,29640.0,0.4
20,-0.0,28899.0,0.39
21,-0.0,28158.0,0.38
22,-0.0,27417.0,0.37
23,-0.0,26676.0,0.36
24,-0.0,25935.0,0.35
25,-0.0,25194.0,0.34
26,-0.0,24453.0,0.33
27,-0.0,25194.0,0.34
28,-0.0,24453.0,0.33
29,-0.0,23712.0,0.32
30,-0.0,24453.0,0.33
31,-0.0,23712.0,0.32
32,-0.0,22971.0,0.31
33,-0.0,22230.0,0.3
34,-0.0,21489.0,0.29
35,-0.0,22230.0,0.3
36,-0.0,21489.0,0.29
37,-0.0,22230.0,0.3
38,-0.0,22971.0,0.31
39,-0.0,23712.0,0.32
40,-0.0,24453.0,0.33
41,-0.0,25194.0,0.34
42,-0.0,24453.0,0.33
43,-0.0,23712.0,0.32
44,-0.0,24453.0,0.33
45,-0.0,25194.0,0.34
46,-0.0,24453.0,0.33
47,-0.0,23712.0,0.32
48,-0.0,24453.0,0.33
49,-0.0,25194.0,0.34
50,-0.0,25935.0,0.35
51,-0.0,25194.0,0.34
52,-0.0,24453.0,0.33
53,-0.0,25194.0,0.34
54,-0.0,25935.0,0.35
55,-0.0,25194.0,0.34
56,-0.0,24453.0,0.33
57,-0.0,23712.0,0.32
58,-0.0,24453.0,0.33
59,-0.0,25194.0,0.34
60,-0.0,24453.0,0.33
61,-0.0,23712.0,0.32
62,-0.0,22971.0,0.31
63,-0.0,22230.0,0.3
64,-0.0,21489.0,0.29
65,-0.0,20748.0,0.28
66,-0.0,20007.0,0.27
67,-0.0,19266.0,0.26
68,-0.0,18525.0,0.25
69,-0.0,19266.0,0.26
70,-0.0,20007.0,0.27
71,-0.0,19266.0,0.26
72,-0.0,20007.0,0.27
73,-0.0,19266.0,0.26
74,-0.0,18525.0,0.25
75,-0.0,17784.0,0.24
76,-0.0,17043.0,0.23
77,-0.0,17784.0,0.24
78,-0.0,18525.0,0.25
79,-0.0,17784.0,0.24
80,-0.0,17043.0,0.23
81,-0.0,17784.0,0.24
82,-0.0,18525.0,0.25
83,-0.0,19266.0,0.26
84,-0.0,20007.0,0.27
85,-0.0,20748.0,0.28
86,-0.0,21489.0,0.29
87,-0.0,22230.0,0.3
88,-0.0,22971.0,0.31
