,contacts,energy,residues
0,-0.0,26000.0,0.5
1,-0.0,25480.0,0.49
2,-0.0,24960.0,0.48
3,-0.0,24440.0,0.47
4,-0.0,23920.0,0.46
5,-0.0,23400.0,0.45
6,-0.0,22880.0,0.44
7,-0.0,22360.0,0.43
8,-0.0,21840.0,0.42
9,-0.0,21320.0,0.41
10,-0.0,20800.0,0.4
11,-0.0,20280.0,0.39
12,-0.0,19760.0,0.38
13,-0.0,19240.0,0.37
14,-0.0,18720.0,0.36
15,-0.0,19240.0,0.37
16,-0.0,18720.0,0.36
17,-0.0,18200.0,0.35
18,-0.0,18720.0,0.36
19,-0.0,18200.0,0.35
20,-0.0,17680.0,0.34
21,-0.0,17160.0,0.33
22,-0.0,17680.0,0.34
23,-0.0,18200.0,0.35
24,-0.0,17680.0,0.34
25,-0.0,17160.0,0.33
26,-0.0,17680.0,0.34
27,-0.0,17160.0,0.33
28,-0.0,17680.0,0.34
29,-0.0,17160.0,0.33
30,-0.0,16640.0,0.32
31,-0.0,16120.0,0.31
32,-0.0,15600.0,0.3
33,-0.0,16120.0,0.31
34,-0.0,15600.0,0.3
35,-0.0,16120.0,0.31
36,-0.0,16640.0,0.32
37,-0.0,16120.0,0.31
38,-0.0,15600.0,0.3
39,-0.0,15080.0,0.29
40,-0.0,15600.0,0.3
41,-0.0,15080.0,0.29
42,-0.0,15600.0,0.3
43,-0.0,15080.0,0.29
44,-0.0,14560.0,0.28
45,-0.0,15080.0,0.29
46,-0.0,15600.0,0.3
47,-0.0,16120.0,0.31
48,-0.0,16640.0,0.32
49,-0.0,17160.0,0.33
50,-0.0,16640.0,0.32
51,-0.0,16120.0,0.31
52,-0.0,15600.0,0.3
53,-0.0,16120.0,0.31
54,-0.0,15600.0,0.3
55,-0.0,15080.0,0.29
56,-0.0,15600.0,0.3
57,-0.0,15080.0,0.29
58,-0.0,15600.0,0.3
59,-0.0,15080.0,0.29
60,-0.0,15600.0,0.3
61,-0.0,15080.0,0.29
62,-0.0,14560.0,0.28
63,-0.0,14040.0,0.27
64,-0.0,13520.0,0.26
65,-0.0,13000.0,0.25
66,-0.0,13520.0,0.26
67,-0.0,14040.0,0.27
68,-0.0,13520.0,0.26
69,-0.0,13000.0,0.25
70,-0.0,12480.0,0.24
71,-0.0,11960.0,0.23
72,-0.0,12480.0,0.24
73,-0.0,11960.0,0.23
74,-0.0,11440.0,0.22
75,-0.0,10920.0,0.21
76,-0.0,11440.0,0.22
77,-0.0,10920.0,0.21
78,-0.0,11440.0,0.22
79,-0.0,11960.0,0.23
80,-0.0,12480.0,0.24
81,-0.0,13000.0,0.25
82,-0.0,13520.0,0.26
83,-0.0,14040.0,0.27
84,-0.0,14560.0,0.28
85,-0.0,14040.0,0.27
86,-0.0,14560.0,0.28
87,-0.0,15080.0,0.29
88,-0.0,14560.0,0.28
89,-0.0,14040.0,0.27
90,-0.0,13520.0,0.26
91,-0.0,14040.0,0.27
92,-0.0,13520.0,0.26
93,-0.0,13000.0,0.25
94,-0.0,13520.0,0.26
95,-0.0,14040.0,0.27
96,-0.0,14560.0,0.28
97,-0.0,14040.0,0.27
98,-0.0,13520.0,0.26
99,-0.0,13000.0,0.25
100,-0.0,13520.0,0.26
101,-0.0,14040.0,0.27
102,-0.0,14560.0,0.28
103,-0.0,14040.0,0.27
104,-0.0,14560.0,0.28
105,-0.0,14040.0,0.27
106,-0.0,13520.0,0.26
107,-0.0,13000.0,0.25
108,-0.0,12480.0,0.24
109,-0.0,11960.0,0.23
110,-0.0,12480.0,0.24
111,-0.0,13000.0,0.25
112,-0.0,12480.0,0.24
113,-0.0,11960.0,0.23
114,-0.0,12480.0,0.24
115,-0.0,13000.0,0.25
116,-0.0,12480.0,0.24
117,-0.0,13000.0,0.25
118,-0.0,13520.0,0.26
119,-0.0,13000.0,0.25
120,-0.0,12480.0,0.24
121,-0.0,11960.0,0.23
122,-0.0,12480.0,0.24
123,-0.0,11960.0,0.23
124,-0.0,12480.0,0.24
125,-0.0,13000.0,0.25
126,-0.0,12480.0,0.24
127,-0.0,11960.0,0.23
128,-0.0,11440.0,0.22
129,-0.0,11960.0,0.23
130,-0.0,11440.0,0.22
131,-0.0,11960.0,0.23
132,-0.0,11440.0,0.22
133,-0.0,10920.0,0.21
134,-0.0,10400.0,0.2
135,-0.0,9880.0,0.19
136,-0.0,10400.0,0.2
137,-0.0,10920.0,0.21
138,-0.0,10400.0,0.2
139,-0.0,9880.0,0.19
140,-0.0,9360.0,0.18
141,-0.0,9880.0,0.19
142,-0.0,9360.0,0.18
143,-0.0,8840.0,0.17
144,-0.0,9360.0,0.18
145,-0.0,8840.0,0.17
146,-0.0,9360.0,0.18
147,-0.0,9880.0,0.19
148,-0.0,10400.0,0.2
149,-0.0,10920.0,0.21
150,-0.0,10400.0,0.2
151,-0.0,10920.0,0.21
152,-0.0,10400.0,0.2
153,-0.0,9880.0,0.19
154,-0.0,10400.0,0.2
155,-0.0,9880.0,0.19
156,-0.0,10400.0,0.2
157,-0.0,10920.0,0.21
158,-0.0,11440.0,0.22
159,-0.0,10920.0,0.21
160,-0.0,10400.0,0.2
161,-0.0,9880.0,0.19
162,-0.0,9360.0,0.18
163,-0.0,8840.0,0.17
164,-0.0,8320.0,0.16
165,-0.0,8840.0,0.17
166,-0.0,9360.0,0.18
167,-0.0,9880.0,0.19
168,-0.0,9360.0,0.18
169,-0.0,8840.0,0.17
170,-0.0,9360.0,0.18
171,-0.0,9880.0,0.19
172,-0.0,10400.0,0.2
173,-0.0,9880.0,0.19
174,-0.0,10400.0,0.2
175,-0.0,9880.0,0.19
176,-0.0,9360.0,0.18
177,-0.0,8840.0,0.17
178,-0.0,8320.0,0.16
179,-0.0,7800.0,0.15
180,-0.0,7280.0,0.14
181,-0.0,7800.0,0.15
182,-0.0,8320.0,0.16
183,-0.0,7800.0,0.15
184,-0.0,8320.0,0.16
185,-0.0,8840.0,0.17
186,-0.0,9360.0,0.18
187,-0.0,8840.0,0.17
188,-0.0,9360.0,0.18
189,-0.0,8840.0,0.17
190,-0.0,9360.0,0.18
191,-0.0,9880.0,0.19
192,-0.0,10400.0,0.2
193,-0.0,9880.0,0.19
194,-0.0,9360.0,0.18
195,-0.0,9880.0,0.19
196,-0.0,9360.0,0.18
197,-0.0,9880.0,0.19
198,-0.0,10400.0,0.2
199,-0.0,9880.0,0.19
200,-0.0,10400.0,0.2
201,-0.0,9880.0,0.19
202,-0.0,9360.0,0.18
203,-0.0,8840.0,0.17
204,-0.0,8320.0,0.16
205,-0.0,7800.0,0.15
206,-0.0,8320.0,0.16
207,-0.0,8840.0,0.17
208,-0.0,9360.0,0.18
209,-0.0,8840.0,0.17
210,-0.0,9360.0,0.18
211,-0.0,8840.0,0.17
212,-0.0,9360.0,0.18
213,-0.0,8840.0,0.17
214,-0.0,8320.0,0.16
215,-0.0,7800.0,0.15
216,-0.0,7280.0,0.14
217,-0.0,7800.0,0.15
218,-0.0,8320.0,0.16
219,-0.0,8840.0,0.17
220,-0.0,8320.0,0.16
221,-0.0,8840.0,0.17
222,-0.0,9360.0,0.18
223,-0.0,9880.0,0.19
224,-0.0,9360.0,0.18
225,-0.0,8840.0,0.17
226,-0.0,9360.0,0.18
227,-0.0,9880.0,0.19
228,-0.0,9360.0,0.18
229,-0.0,8840.0,0.17
230,-0.0,9360.0,0.18
231,-0.0,8840.0,0.17
232,-0.0,8320.0,0.16
233,-0.0,8840.0,0.17
234,-0.0,9360.0,0.18
235,-0.0,8840.0,0.17
236,-0.0,9360.0,0.18
237,-0.0,8840.0,0.17
238,-0.0,9360.0,0.18
239,-0.0,8840.0,0.17
240,-0.0,9360.0,0.18
241,-0.0,9880.0,0.19
242,-0.0,10400.0,0.2
243,-0.0,9880.0,0.19
244,-0.0,10400.0,0.2
245,-0.0,10920.0,0.21
246,-0.0,11440.0,0.22
247,-0.0,10920.0,0.21
248,-0.0,10400.0,0.2
249,-0.0,10920.0,0.21
250,-0.0,11440.0,0.22
251,-0.0,10920.0,0.21
252,-0.0,10400.0,0.2
253,-0.0,10920.0,0.21
254,-0.0,10400.0,0.2
255,-0.0,9880.0,0.19
256,-0.0,10400.0,0.2
257,-0.0,10920.0,0.21
258,-0.0,11440.0,0.22
259,-0.0,10920.0,0.21
260,-0.0,11440.0,0.22
261,-0.0,10920.0,0.21
262,-0.0,11440.0,0.22
263,-0.0,10920.0,0.21
264,-0.0,11440.0,0.22
265,-0.0,11960.0,0.23
266,-0.0,11440.0,0.22
267,-0.0,10920.0,0.21
268,-0.0,11440.0,0.22
269,-0.0,11960.0,0.23
270,-0.0,11440.0,0.22
271,-0.0,10920.0,0.21
272,-0.0,11440.0,0.22
273,-0.0,10920.0,0.21
274,-0.0,10400.0,0.2
275,-0.0,10920.0,0.21
276,-0.0,10400.0,0.2
277,-0.0,10920.0,0.21
278,-0.0,11440.0,0.22
279,-0.0,11960.0,0.23
280,-0.0,12480.0,0.24
281,-0.0,13000.0,0.25
282,-0.0,12480.0,0.24
283,-0.0,13000.0,0.25
284,-0.0,13520.0,0.26
285,-0.0,13000.0,0.25
286,-0.0,12480.0,0.24
287,-0.0,13000.0,0.25
288,-0.0,12480.0,0.24
289,-0.0,13000.0,0.25
290,-0.0,12480.0,0.24
291,-0.0,11960.0,0.23
292,-0.0,12480.0,0.24
293,-0.0,13000.0,0.25
294,-0.0,12480.0,0.24
295,-0.0,13000.0,0.25
296,-0.0,12480.0,0.24
297,-0.0,13000.0,0.25
298,-0.0,13520.0,0.26
299,-0.0,13000.0,0.25
300,-0.0,12480.0,0.24
301,-0.0,13000.0,0.25
302,-0.0,13520.0,0.26
303,-0.0,13000.0,0.25
304,-0.0,12480.0,0.24
305,-0.0,11960.0,0.23
306,-0.0,12480.0,0.24
307,-0.0,13000.0,0.25
308,-0.0,12480.0,0.24
309,-0.0,11960.0,0.23
310,-0.0,11440.0,0.22
311,-0.0,10920.0,0.21
312,-0.0,11440.0,0.22
313,-0.0,10920.0,0.21
314,-0.0,10400.0,0.2
315,-0.0,10920.0,0.21
316,-0.0,10400.0,0.2
317,-0.0,9880.0,0.19
318,-0.0,10400.0,0.2
319,-0.0,10920.0,0.21
320,-0.0,10400.0,0.2
321,-0.0,9880.0,0.19
322,-0.0,10400.0,0.2
323,-0.0,9880.0,0.19
324,-0.0,9360.0,0.18
325,-0.0,9880.0,0.19
326,-0.0,9360.0,0.18
327,-0.0,9880.0,0.19
328,-0.0,10400.0,0.2
329,-0.0,10920.0,0.21
330,-0.0,10400.0,0.2
331,-0.0,10920.0,0.21
332,-0.0,10400.0,0.2
333,-0.0,9880.0,0.19
334,-0.0,9360.0,0.18
335,-0.0,8840.0,0.17
336,-0.0,9360.0,0.18
337,-0.0,8840.0,0.17
338,-0.0,9360.0,0.18
339,-0.0,8840.0,0.17
340,-0.0,8320.0,0.16
341,-0.0,8840.0,0.17
342,-0.0,9360.0,0.18
343,-0.0,8840.0,0.17
344,-0.0,8320.0,0.16
345,-0.0,8840.0,0.17
346,-0.0,9360.0,0.18
347,-0.0,9880.0,0.19
348,-0.0,10400.0,0.2
349,-0.0,10920.0,0.21
350,-0.0,11440.0,0.22
351,-0.0,10920.0,0.21
352,-0.0,10400.0,0.2
353,-0.0,10920.0,0.21
354,-0.0,11440.0,0.22
355,-0.0,10920.0,0.21
356,-0.0,10400.0,0.2
357,-0.0,10920.0,0.21
358,-0.0,11440.0,0.22
359,-0.0,10920.0,0.21
360,-0.0,11440.0,0.22
361,-0.0,11960.0,0.23
362,-0.0,11440.0,0.22
363,-0.0,10920.0,0.21
364,-0.0,10400.0,0.2
365,-0.0,10920.0,0.21
366,-0.0,11440.0,0.22
367,-0.0,11960.0,0.23
368,-0.0,11440.0,0.22
369,-0.0,10920.0,0.21
370,-0.0,10400.0,0.2
371,-0.0,10920.0,0.21
372,-0.0,10400.0,0.2
373,-0.0,10920.0,0.21
374,-0.0,10400.0,0.2
375,-0.0,10920.0,0.21
376,-0.0,11440.0,0.22
377,-0.0,10920.0,0.21
378,-0.0,10400.0,0.2
379,-0.0,10920.0,0.21
380,-0.0,11440.0,0.22
381,-0.0,10920.0,0.21
382,-0.0,10400.0,0.2
383,-0.0,10920.0,0.21
384,-0.0,11440.0,0.22
385,-0.0,11960.0,0.23
386,-0.0,11440.0,0.22
387,-0.0,10920.0,0.21
388,-0.0,10400.0,0.2
389,-0.0,9880.0,0.19
390,-0.0,9360.0,0.18
391,-0.0,8840.0,0.17
392,-0.0,9360.0,0.18
393,-0.0,9880.0,0.19
394,-0.0,10400.0,0.2
395,-0.0,10920.0,0.21
396,-0.0,10400.0,0.2
397,-0.0,9880.0,0.19
398,-0.0,9360.0,0.18
399,-0.0,8840.0,0.17
400,-0.0,8320.0,0.16
401,-0.0,8840.0,0.17
402,-0.0,9360.0,0.18
403,-0.0,9880.0,0.19
404,-0.0,10400.0,0.2
405,-0.0,9880.0,0.19
406,-0.0,9360.0,0.18
407,-0.0,8840.0,0.17
408,-0.0,8320.0,0.16
409,-0.0,7800.0,0.15
410,-0.0,7280.0,0.14
411,-0.0,7800.0,0.15
412,-0.0,7280.0,0.14
413,-0.0,7800.0,0.15
414,-0.0,7280.0,0.14
415,-0.0,7800.0,0.15
416,-0.0,8320.0,0.16
417,-0.0,8840.0,0.17
418,-0.0,9360.0,0.18
419,-0.0,8840.0,0.17
420,-0.0,9360.0,0.18
421,-0.0,9880.0,0.19
422,-0.0,10400.0,0.2
423,-0.0,9880.0,0.19
424,-0.0,9360.0,0.18
425,-0.0,9880.0,0.19
426,-0.0,9360.0,0.18
427,-0.0,8840.0,0.17
428,-0.0,9360.0,0.18
429,-0.0,9880.0,0.19
430,-0.0,10400.0,0.2
431,-0.0,9880.0,0.19
432,-0.0,9360.0,0.18
433,-0.0,9880.0,0.19
434,-0.0,10400.0,0.2
435,-0.0,10920.0,0.21
436,-0.0,10400.0,0.2
437,-0.0,10920.0,0.21
438,-0.0,11440.0,0.22
439,-0.0,10920.0,0.21
440,-0.0,11440.0,0.22
441,-0.0,11960.0,0.23
442,-0.0,11440.0,0.22
443,-0.0,10920.0,0.21
444,-0.0,11440.0,0.22
445,-0.0,10920.0,0.21
446,-0.0,11440.0,0.22
447,-0.0,10920.0,0.21
448,-0.0,10400.0,0.2
449,-0.0,10920.0,0.21
450,-0.0,10400.0,0.2
451,-0.0,9880.0,0.19
452,-0.0,10400.0,0.2
453,-0.0,9880.0,0.19
454,-0.0,9360.0,0.18
455,-0.0,9880.0,0.19
456,-0.0,10400.0,0.2
457,-0.0,9880.0,0.19
458,-0.0,10400.0,0.2
459,-0.0,9880.0,0.19
460,-0.0,10400.0,0.2
461,-0.0,10920.0,0.21
462,-0.0,10400.0,0.2
463,-0.0,9880.0,0.19
464,-0.0,9360.0,0.18
465,-0.0,8840.0,0.17
466,-0.0,8320.0,0.16
467,-0.0,7800.0,0.15
468,-0.0,7280.0,0.14
469,-0.0,6760.0,0.13
470,-0.0,7280.0,0.14
471,-0.0,6760.0,0.13
472,-0.0,7280.0,0.14
473,-0.0,7800.0,0.15
474,-0.0,8320.0,0.16
475,-0.0,8840.0,0.17
476,-0.0,9360.0,0.18
477,-0.0,8840.0,0.17
478,-0.0,9360.0,0.18
479,-0.0,8840.0,0.17
480,-0.0,9360.0,0.18
481,-0.0,8840.0,0.17
482,-0.0,8320.0,0.16
483,-0.0,8840.0,0.17
484,-0.0,9360.0,0.18
485,-0.0,8840.0,0.17
486,-0.0,9360.0,0.18
487,-0.0,8840.0,0.17
488,-0.0,8320.0,0.16
489,-0.0,8840.0,0.17
490,-0.0,8320.0,0.16
491,-0.0,8840.0,0.17
492,-0.0,8320.0,0.16
493,-0.0,7800.0,0.15
494,-0.0,8320.0,0.16
495,-0.0,7800.0,0.15
496,-0.0,8320.0,0.16
497,-0.0,7800.0,0.15
498,-0.0,7280.0,0.14
499,-0.0,7800.0,0.15
